filing_uuid,lobbyist_name,registrant,client,covered_position
https://lda.gov/api/v1/filings/4458feda-795e-415e-b30f-e4d8c5112be4/,BRET MANLEY,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"Chief of Staff, Rep. Rodney Davis 19-22; Chief of Staff, Rep. Jeff Denham 17-18; Legislative Director, Rep. Jeff Denham 11-17; Financial Services Policy Advisor, Rep. Gary Miller 08-10; Legislative Correspondent, Rep. Gary Miller 07-08."
https://lda.gov/api/v1/filings/4458feda-795e-415e-b30f-e4d8c5112be4/,DAVID MARTEN,"ELEVATE GOVERNMENT AFFAIRS, LLC",MICROSOFT CORPORATION,"Legislative Director, Sen. Maria Cantwell; Legislative Assistant, Sen. Maria Cantwell; Legislative Assistant, Rep. Denny Heck; Legislative Correspondent, Rep. Denny Heck."
https://lda.gov/api/v1/filings/d2883bc9-f74c-4433-9a25-2da6e152fbd9/,JEFFREY SHAPIRO,TIBER CREEK GROUP,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/d2883bc9-f74c-4433-9a25-2da6e152fbd9/,LINDSEY LEDWIN,TIBER CREEK GROUP,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/d2883bc9-f74c-4433-9a25-2da6e152fbd9/,TIMOTHY MOLINO,TIBER CREEK GROUP,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/d2883bc9-f74c-4433-9a25-2da6e152fbd9/,JENNIFER OLSON,TIBER CREEK GROUP,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/d2883bc9-f74c-4433-9a25-2da6e152fbd9/,MATTHEW LEFFINGWELL,TIBER CREEK GROUP,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/d2883bc9-f74c-4433-9a25-2da6e152fbd9/,JOSEPH RUSSO,TIBER CREEK GROUP,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/d2883bc9-f74c-4433-9a25-2da6e152fbd9/,JOHN GONZALEZ,TIBER CREEK GROUP,MICROSOFT CORPORATION,
https://lda.gov/api/v1/filings/38aab9ec-4c60-42a8-a44c-69f20c65b0b4/,FRANK CAVALIERE,MICROSOFT CORPORATION,MICROSOFT CORPORATION,
